== qwen36 Phase-2 engine | cache=256/layer bits=4 pilot=0 wide=1 hot=0 smooth=0.30 conf=0.92 ==
[tok] loaded 248044 pieces (max id 248043) from /mnt/ai-ssd/huggingface/hub/models--Kreuzzelg--qwen36-35b-a3b-colibri-i4/snapshots/9ccfbfa09bc55410a9c9102558ee63077d8a477d/tokenizer.json
[enc] prompt tokens: 15 | generating 16 new tokens
[meta] loaded: q_heads=16 kv_heads=2 head_dim=256 q_head_dim=512 k_head_dim=256 v_head_dim=256 o_in=4096 rotary_dim=64 n_experts=256 topk=8 inter=512 shared_inter=512 n_group=1 topk_group=1 attn_output_gate=1 n_active=10
[meta] DeltaNet: vheads=32 kheads=16 kdim=128 vdim=128 convk=4 conv_dim=8192
resident weights loaded in 11.1s | RSS after load: 9.23 GB
[dense-i8] 291 matrices quantized in 0.8 s, 7.2 GB f32 freed
[CUDA] device 0: Tesla P40, 25.6 GB VRAM, sm_61
[CUDA] device 1: Tesla P40, 25.6 GB VRAM, sm_61
[qtier] dev 0: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] dev 1: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] CUDA VRAM expert tier active: 2 device(s), 1.52 MB/expert
[gpu] MoE experts -> CUDA VRAM tier
[qwen36] int4 packed weights detected — unpacking to int8 in slot
[qtier] warmstart (parallel): all 10240 experts in RAM (int8 only for non-residents), 10240 in VRAM -- 45.1 s
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.011280041 max_abs=0.0005052574 cosine=0.99993639 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.010375329 max_abs=0.00064194947 cosine=0.99994827 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.019528407 max_abs=0.0027299253 cosine=0.99980942 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.018214166 max_abs=0.00064512808 cosine=0.99983512 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.009270206 max_abs=0.00038532332 cosine=0.99995704 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.0055253804 max_abs=0.00078961812 cosine=0.99998535 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.02343584 max_abs=0.0075844675 cosine=0.99972542 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.015033296 max_abs=0.00081114436 cosine=0.99988699 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.017033433 max_abs=0.0010009203 cosine=0.99985492 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.016309311 max_abs=0.00068838801 cosine=0.99986715 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.010844198 max_abs=0.0004279532 cosine=0.99994122 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.014217415 max_abs=0.00081519037 cosine=0.99989945 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.014975895 max_abs=0.0011858577 cosine=0.99988786 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.0093668804 max_abs=0.00077909231 cosine=0.99995742 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.021513514 max_abs=0.0023755273 cosine=0.9997686 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.017889422 max_abs=0.00069748005 cosine=0.9998426 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.019932765 max_abs=0.00094521325 cosine=0.99980139 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.017378812 max_abs=0.00078943346 cosine=0.99984905 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.016332863 max_abs=0.00071891118 cosine=0.99986661 finite=1
[w4a8-stage-input] rows=6 width=2048 rel_l2=0.017961065 max_abs=0.00078000594 cosine=0.99983884 finite=1
[w4a8-stage-hidden] rows=6 width=2048 rel_l2=0.013018842 max_abs=0.00068510859 cosine=0.99991527 finite=1
[w4a8-stage-input] rows=2 width=2048 rel_l2=0.011886571 max_abs=0.00084676221 cosine=0.99992938 finite=1
[w4a8-stage-hidden] rows=2 width=2048 rel_l2=0.020225642 max_abs=0.001685841 cosine=0.99979553 finite=1
[w4a8-stage-input] rows=2 width=2048 rel_l2=0.005391901 max_abs=0.00072343927 cosine=0.99998721 finite=1
[w4a8-stage-hidden] rows=2 width=2048 rel_l2=0.025071806 max_abs=0.0050513875 cosine=0.99968585 finite=1
[w4a8-stage-input] rows=6 width=2048 rel_l2=0.014441865 max_abs=0.0011458807 cosine=0.999896 finite=1
[w4a8-stage-hidden] rows=6 width=2048 rel_l2=0.017062735 max_abs=0.001432959 cosine=0.99985445 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.01595974 max_abs=0.0007523708 cosine=0.99987271 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.011810134 max_abs=0.00064259255 cosine=0.99993028 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.014943711 max_abs=0.00085456483 cosine=0.99988931 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.015212154 max_abs=0.0010903589 cosine=0.99988435 finite=1
[w4a8-stage-input] rows=2 width=2048 rel_l2=0.027647591 max_abs=0.00083377538 cosine=0.99961967 finite=1
[w4a8-stage-hidden] rows=2 width=2048 rel_l2=0.012996734 max_abs=0.00039819814 cosine=0.99991566 finite=1
[w4a8-stage-input] rows=6 width=2048 rel_l2=0.02088709 max_abs=0.00074030925 cosine=0.99978675 finite=1
[w4a8-stage-hidden] rows=6 width=2048 rel_l2=0.014365786 max_abs=0.0015130416 cosine=0.99989755 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.020310951 max_abs=0.00097324327 cosine=0.99979371 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.012547539 max_abs=0.00062907056 cosine=0.99992128 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.019460641 max_abs=0.00093324063 cosine=0.99981128 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.012225005 max_abs=0.00069975201 cosine=0.99992527 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.014080829 max_abs=0.00098343939 cosine=0.99990196 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.013716163 max_abs=0.0014986806 cosine=0.99990623 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.015514121 max_abs=0.0009250039 cosine=0.99988064 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.014430311 max_abs=0.00095294882 cosine=0.99989592 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.0085976722 max_abs=0.00095583126 cosine=0.9999632 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.01954758 max_abs=0.0032678656 cosine=0.99980909 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.011279746 max_abs=0.00097758463 cosine=0.99993703 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.013578644 max_abs=0.0013776347 cosine=0.99990781 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.010206506 max_abs=0.00098087452 cosine=0.99994835 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.017778038 max_abs=0.0020175613 cosine=0.99984214 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.010814342 max_abs=0.00077667646 cosine=0.99994166 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.017297466 max_abs=0.002117604 cosine=0.9998504 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.013552924 max_abs=0.0012060395 cosine=0.9999086 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.012120495 max_abs=0.0010613699 cosine=0.99992655 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.018106967 max_abs=0.00088175386 cosine=0.99983665 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.0093360152 max_abs=0.00064407941 cosine=0.99995642 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.011805162 max_abs=0.0011390685 cosine=0.99993218 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.020312905 max_abs=0.0037503688 cosine=0.99979448 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.010023128 max_abs=0.00094658695 cosine=0.99994987 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.021156119 max_abs=0.0032123812 cosine=0.99977679 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.017171109 max_abs=0.00091503561 cosine=0.99985314 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.011495456 max_abs=0.00069819391 cosine=0.99993393 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.0092116502 max_abs=0.00084252853 cosine=0.99996147 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.021506572 max_abs=0.0036889485 cosine=0.99976879 finite=1
[w4a8-stage-input] rows=3 width=2048 rel_l2=0.014931872 max_abs=0.0010344111 cosine=0.99988912 finite=1
[w4a8-stage-hidden] rows=3 width=2048 rel_l2=0.010339494 max_abs=0.00081081316 cosine=0.99994655 finite=1
[w4a8-stage-input] rows=5 width=2048 rel_l2=0.012375051 max_abs=0.0010801796 cosine=0.99992363 finite=1
[w4a8-stage-hidden] rows=5 width=2048 rel_l2=0.011597729 max_abs=0.0011355281 cosine=0.99993292 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.011936068 max_abs=0.00082975253 cosine=0.99992879 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.018279199 max_abs=0.0021811258 cosine=0.99983297 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.0070939803 max_abs=0.00094546285 cosine=0.99997529 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.024130333 max_abs=0.0053791744 cosine=0.99970938 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.011555484 max_abs=0.00070413947 cosine=0.99993329 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.01914964 max_abs=0.0017973334 cosine=0.99981663 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.012936292 max_abs=0.00075931102 cosine=0.9999175 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.016708236 max_abs=0.0012381533 cosine=0.99986041 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.022871756 max_abs=0.00089998636 cosine=0.99973858 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.01388733 max_abs=0.00073066866 cosine=0.9999036 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.021746503 max_abs=0.00083629414 cosine=0.99976512 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.015375274 max_abs=0.00069942791 cosine=0.99988218 finite=1
[w4a8-stage-input] rows=4 width=2048 rel_l2=0.017978942 max_abs=0.00074303243 cosine=0.99983838 finite=1
[w4a8-stage-hidden] rows=4 width=2048 rel_l2=0.010280098 max_abs=0.00042506866 cosine=0.99994718 finite=1
