== qwen36 Phase-2 engine | cache=256/layer bits=4 pilot=0 wide=1 hot=0 smooth=0.30 conf=0.92 ==
[tok] loaded 248044 pieces (max id 248043) from /mnt/ai-ssd/huggingface/hub/models--Kreuzzelg--qwen36-35b-a3b-colibri-i4/snapshots/9ccfbfa09bc55410a9c9102558ee63077d8a477d/tokenizer.json
[enc] prompt tokens: 15 | generating 16 new tokens
[meta] loaded: q_heads=16 kv_heads=2 head_dim=256 q_head_dim=512 k_head_dim=256 v_head_dim=256 o_in=4096 rotary_dim=64 n_experts=256 topk=8 inter=512 shared_inter=512 n_group=1 topk_group=1 attn_output_gate=1 n_active=10
[meta] DeltaNet: vheads=32 kheads=16 kdim=128 vdim=128 convk=4 conv_dim=8192
resident weights loaded in 10.8s | RSS after load: 9.23 GB
[dense-i8] 291 matrices quantized in 0.8 s, 7.2 GB f32 freed
[CUDA] device 0: Tesla P40, 25.6 GB VRAM, sm_61
[CUDA] device 1: Tesla P40, 25.6 GB VRAM, sm_61
[qtier] dev 0: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] dev 1: 23.7 GB free, budget 22.7 GB (~15349 experts)
[qtier] CUDA VRAM expert tier active: 2 device(s), 1.52 MB/expert
[gpu] MoE experts -> CUDA VRAM tier
[qwen36] int4 packed weights detected — unpacking to int8 in slot
[qtier] warmstart (parallel): all 10240 experts in RAM (int8 only for non-residents), 10240 in VRAM -- 45.7 s
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.020865604 max_abs=0.002334591 cosine=0.99978364 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.021329375 max_abs=0.0033346489 cosine=0.99977283 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.023418431 max_abs=0.0063538253 cosine=0.99972604 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.022060274 max_abs=0.0031013191 cosine=0.9997569 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.020616359 max_abs=0.0036428813 cosine=0.99978746 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.019914617 max_abs=0.0014831424 cosine=0.99980232 finite=1
[w4a8-groupwise-shadow] rows=7 width=2048 rel_l2=0.025050267 max_abs=0.0032736494 cosine=0.99968841 finite=1
[w4a8-groupwise-shadow] rows=1 width=2048 rel_l2=0.025841612 max_abs=0.0020212494 cosine=0.99966629 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.027494064 max_abs=0.0021229813 cosine=0.99962241 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.02851453 max_abs=0.0025841764 cosine=0.99959794 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.022787929 max_abs=0.0012493934 cosine=0.99974034 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.02538377 max_abs=0.0019851038 cosine=0.99967806 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.023415431 max_abs=0.0021641292 cosine=0.9997262 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.023039196 max_abs=0.0026961416 cosine=0.99973577 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.025829246 max_abs=0.0046474095 cosine=0.99966687 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.020038604 max_abs=0.0019061565 cosine=0.99980061 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.032271161 max_abs=0.0014296856 cosine=0.99948126 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.03488828 max_abs=0.001814805 cosine=0.99939339 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.027092475 max_abs=0.0026431819 cosine=0.99963451 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.027963274 max_abs=0.001394609 cosine=0.99960913 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.02945027 max_abs=0.0055142445 cosine=0.99957698 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.028047751 max_abs=0.0021420242 cosine=0.99960696 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.018888327 max_abs=0.0020645261 cosine=0.9998226 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.019036573 max_abs=0.0040825754 cosine=0.99982007 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.020122369 max_abs=0.0013332339 cosine=0.99979829 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.020930331 max_abs=0.0020514838 cosine=0.99978097 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.021904484 max_abs=0.0036369604 cosine=0.99976065 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.026440346 max_abs=0.0036177784 cosine=0.99965107 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.020043941 max_abs=0.001949776 cosine=0.99979928 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.020716666 max_abs=0.0020904504 cosine=0.99978546 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.022527471 max_abs=0.0036509484 cosine=0.99974624 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.018234989 max_abs=0.0023692474 cosine=0.9998342 finite=1
[w4a8-groupwise-shadow] rows=7 width=2048 rel_l2=0.022121087 max_abs=0.00239236 cosine=0.9997553 finite=1
[w4a8-groupwise-shadow] rows=1 width=2048 rel_l2=0.030907343 max_abs=0.0056278631 cosine=0.99952281 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.021427053 max_abs=0.0017027208 cosine=0.99977117 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.020177577 max_abs=0.001747216 cosine=0.99979642 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.024301332 max_abs=0.0020432286 cosine=0.99970548 finite=1
[w4a8-groupwise-shadow] rows=5 width=2048 rel_l2=0.025920124 max_abs=0.0038063239 cosine=0.99966409 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.030069279 max_abs=0.0018253364 cosine=0.99954808 finite=1
[w4a8-groupwise-shadow] rows=4 width=2048 rel_l2=0.03204444 max_abs=0.0038654753 cosine=0.99950559 finite=1
[w4a8-groupwise-shadow] rows=2 width=2048 rel_l2=0.024519461 max_abs=0.0015954338 cosine=0.99970001 finite=1
[w4a8-groupwise-shadow] rows=6 width=2048 rel_l2=0.024408147 max_abs=0.0029278025 cosine=0.99970209 finite=1
[w4a8-groupwise-shadow] rows=3 width=2048 rel_l2=0.024621934 max_abs=0.0020603575 cosine=0.9996981 finite=1
